student_id,early_logins,early_submissions,early_minutes,midterm_satisfaction,withdrew,withdrew_week
100109,19,0,516,3.0,False,
100110,15,1,331,4.0,False,
100111,29,2,774,3.0,False,
100112,28,1,647,3.0,True,12.0
100113,38,5,1052,4.0,False,
100114,23,1,563,4.0,False,
100115,21,1,528,4.0,False,
100116,36,2,900,3.0,False,
100117,15,0,405,,False,
100118,25,5,705,4.0,False,
100119,4,0,128,2.0,True,7.0
100120,39,1,1055,4.0,False,
100121,28,3,743,4.0,False,
100122,4,0,133,,False,
100123,15,0,411,1.0,True,6.0
100124,22,1,614,4.0,False,
100125,26,3,662,4.0,False,
100126,11,2,292,4.0,False,
100127,16,0,426,2.0,False,
100128,5,0,105,2.0,False,
100129,15,1,425,1.0,False,
100130,4,0,116,,False,
100131,42,4,1102,4.0,False,
100132,13,0,335,3.0,False,
100133,24,1,671,3.0,False,
100134,27,3,707,4.0,False,
100135,24,2,632,4.0,False,
100136,19,3,509,3.0,False,
100137,43,1,1060,5.0,False,
100138,16,2,473,5.0,False,
100139,12,2,331,,False,
100140,18,0,444,2.0,False,
100141,8,0,181,2.0,False,
100142,38,2,1027,5.0,False,
100143,24,1,601,4.0,False,
100144,13,2,342,,False,
100145,40,2,1053,3.0,False,
100146,2,0,85,,False,
100147,21,3,580,5.0,False,
100148,39,3,1017,4.0,False,
100149,35,2,892,5.0,False,
100150,24,3,591,5.0,False,
100151,11,0,319,3.0,False,
100152,14,0,296,3.0,False,
100153,24,3,573,4.0,False,
100154,20,2,512,,False,
100155,11,0,308,2.0,False,
100156,23,2,606,4.0,False,
100157,23,3,667,4.0,False,
100158,22,4,601,4.0,False,
100159,17,2,471,2.0,False,
100160,24,3,675,4.0,False,
100161,15,0,337,5.0,False,
100162,16,1,426,3.0,False,
100163,21,1,583,5.0,True,9.0
100164,32,1,861,5.0,False,
100165,56,4,1464,5.0,False,
100166,13,1,342,,False,
100167,12,1,340,5.0,False,
100168,15,0,415,,False,
100169,15,0,345,4.0,False,
100170,45,2,1193,4.0,False,
100171,15,2,445,,False,
100172,15,1,331,3.0,False,
100173,21,0,569,4.0,False,
100174,35,4,901,2.0,False,
100175,17,1,456,4.0,False,
100176,11,1,221,3.0,True,9.0
100177,13,0,311,4.0,False,
100178,16,1,477,3.0,True,13.0
100179,20,4,511,4.0,False,
100180,5,0,142,3.0,False,
100181,7,4,222,,False,
100182,19,2,517,4.0,True,6.0
100183,39,2,1030,3.0,False,
100184,15,1,374,4.0,False,
100185,4,0,147,2.0,False,
100186,13,1,291,4.0,True,10.0
100187,49,6,1282,,False,
100188,16,2,452,,False,
100189,12,3,335,1.0,False,
100190,6,0,145,3.0,True,6.0
100191,42,3,1077,4.0,False,
100192,13,1,325,4.0,False,
100193,14,2,326,4.0,False,
100194,6,0,185,,False,
100195,16,0,468,4.0,False,
100196,34,6,911,2.0,False,
100197,5,0,98,,False,
100198,20,0,517,4.0,False,
100199,17,1,448,3.0,False,
100200,12,0,333,5.0,False,
100201,26,3,713,2.0,False,
100202,16,0,377,2.0,True,5.0
100203,65,3,1665,5.0,False,
100204,50,4,1279,5.0,False,
100205,18,2,462,4.0,False,
100206,8,0,258,,False,
100207,17,3,409,3.0,False,
100208,10,1,255,,False,
100209,22,4,607,3.0,False,
100210,11,0,289,,False,
100211,17,0,454,4.0,False,
100212,33,4,881,5.0,False,
100213,17,2,459,2.0,False,
100214,14,4,378,,False,
100215,8,0,163,,False,
100216,18,2,507,3.0,False,
100217,17,1,473,4.0,False,
100218,23,1,616,3.0,False,
100219,12,0,410,,False,
100220,12,0,327,2.0,True,10.0
100221,42,3,1084,4.0,False,
100222,19,2,520,4.0,True,7.0
100223,14,0,357,,False,
100224,13,2,350,,False,
100225,31,3,836,3.0,False,
100226,33,4,789,3.0,False,
100227,26,3,695,1.0,False,
100228,23,4,587,4.0,False,
100229,22,1,549,2.0,False,
100230,57,6,1466,3.0,False,
100231,10,0,292,3.0,False,
100232,18,1,461,,False,
100233,20,2,479,4.0,False,
100234,8,0,219,3.0,False,
100235,35,5,914,5.0,False,
100236,27,2,688,5.0,False,
100237,17,3,438,3.0,False,
100238,15,2,486,5.0,False,
100239,9,0,228,2.0,False,
100240,36,4,935,4.0,False,
100241,11,2,292,4.0,False,
100242,22,3,565,4.0,False,
100243,14,0,406,3.0,False,
100244,12,0,295,3.0,False,
100245,11,0,302,3.0,False,
100246,22,2,593,,False,
100247,12,1,317,3.0,False,
100248,23,0,641,2.0,False,
100249,10,3,319,3.0,False,
100250,19,1,426,4.0,False,
100251,21,0,542,,False,
100252,13,0,299,,True,11.0
100253,20,3,527,4.0,False,
100254,10,1,228,3.0,True,13.0
100255,38,5,1036,4.0,False,
100256,23,3,602,4.0,False,
100257,8,0,200,2.0,False,
100258,17,1,447,3.0,False,
100259,11,3,238,2.0,False,
100260,22,1,568,2.0,False,
100261,22,3,528,2.0,False,
100262,25,2,665,4.0,False,
100263,48,0,1273,5.0,False,
100264,39,3,979,5.0,False,
100265,21,3,522,3.0,False,
100266,11,1,298,2.0,True,7.0
100267,14,1,409,,False,
100268,7,0,206,,False,
100269,37,5,912,4.0,False,
100270,18,1,485,3.0,False,
100271,36,2,894,,True,13.0
100272,21,0,582,2.0,False,
100273,27,0,663,4.0,False,
100274,9,1,258,,False,
100275,26,2,658,3.0,False,
100276,6,0,200,,False,
100277,24,3,620,5.0,False,
100278,12,0,331,2.0,False,
100279,6,2,128,,True,8.0
100280,20,3,471,3.0,False,
100281,15,3,433,4.0,False,
100282,7,1,179,2.0,True,11.0
100283,27,3,719,3.0,False,
100284,30,4,820,5.0,False,
100285,28,0,757,3.0,False,
100286,25,1,646,5.0,False,
100287,20,1,537,1.0,False,
100288,8,0,190,2.0,False,
100289,6,0,125,3.0,False,
100290,10,0,258,3.0,False,
100291,7,0,198,,False,
100292,12,1,299,3.0,False,
100293,7,0,147,,True,5.0
100294,34,3,823,5.0,False,
100295,45,1,1184,,False,
100296,23,1,576,4.0,False,
100297,8,0,234,,False,
100298,16,1,391,5.0,False,
100299,23,2,601,2.0,False,
100300,18,0,433,4.0,True,10.0
100301,16,0,429,5.0,False,
100302,34,5,818,4.0,False,
100303,19,3,473,3.0,False,
100304,31,1,808,5.0,False,
100305,8,2,182,2.0,False,
100306,24,1,658,5.0,False,
100307,13,0,388,,False,
100308,23,1,597,5.0,False,
100309,15,0,397,,False,
100310,21,1,536,2.0,False,
100311,79,6,2025,5.0,False,
100312,24,1,616,4.0,False,
100313,28,5,683,3.0,False,
100314,28,3,687,5.0,False,
100315,14,1,360,,False,
100316,10,0,295,4.0,False,
100317,28,2,772,5.0,False,
100318,20,2,540,4.0,False,
100319,24,6,593,5.0,False,
100320,39,4,1009,4.0,False,
100321,19,1,509,4.0,False,
100322,4,0,142,2.0,False,
100323,22,2,615,3.0,False,
100324,20,1,524,3.0,False,
100325,9,1,269,,True,13.0
100326,12,1,351,5.0,False,
100327,7,0,166,,False,
100328,19,0,550,,False,
100329,30,1,622,4.0,False,
100330,19,0,529,4.0,False,
100331,20,2,572,,False,
100332,4,0,139,4.0,False,
100333,20,4,561,5.0,False,
100334,48,5,1157,3.0,False,
100335,26,3,685,2.0,False,
100336,13,0,309,,False,
100337,23,3,640,4.0,False,
100338,27,2,705,3.0,False,
100339,24,0,627,5.0,False,
100340,15,2,390,3.0,False,
100341,30,4,821,3.0,False,
100342,11,0,226,5.0,False,
100343,11,1,281,4.0,False,
100344,26,5,621,4.0,False,
100345,27,2,637,4.0,False,
100346,7,0,184,4.0,True,6.0
100347,34,2,883,4.0,False,
100348,18,1,502,3.0,False,
100349,20,0,503,5.0,False,
100350,10,0,236,2.0,False,
100351,25,3,681,5.0,False,
100352,18,1,475,,False,
100353,10,0,266,2.0,False,
100354,21,1,542,,False,
100355,16,4,441,,False,
100356,11,0,238,4.0,False,
100357,12,0,290,4.0,False,
100358,25,3,645,3.0,False,
100359,9,1,273,,False,
100360,7,0,227,3.0,False,
100361,5,0,208,4.0,False,
100362,18,3,482,3.0,False,
100363,24,3,587,3.0,False,
100364,20,0,515,4.0,False,
100365,22,2,591,4.0,False,
100366,19,2,539,2.0,False,
100367,47,4,1227,5.0,False,
100368,25,1,612,4.0,False,
100369,22,3,554,4.0,False,
100370,14,2,403,4.0,False,
100371,20,0,546,3.0,False,
100372,35,4,887,3.0,False,
100373,23,2,588,3.0,False,
100374,14,3,365,4.0,False,
100375,12,2,334,2.0,False,
100376,32,2,814,4.0,False,
100377,11,0,307,4.0,False,
100378,28,3,729,5.0,False,
100379,14,0,371,5.0,False,
100380,6,0,152,,True,10.0
100381,18,3,465,3.0,False,
100382,18,1,477,,True,10.0
100383,13,1,296,4.0,False,
100384,5,0,159,,False,
100385,18,2,565,4.0,False,
100386,12,1,253,,True,6.0
100387,6,1,187,,True,10.0
100388,11,0,245,3.0,False,
100389,14,0,389,4.0,False,
100390,28,3,706,3.0,False,
100391,33,2,827,3.0,False,
100392,19,1,480,4.0,False,
100393,26,0,632,4.0,False,
100394,24,5,621,4.0,False,
100395,14,0,347,,True,6.0
100396,32,3,908,3.0,True,12.0
100397,3,0,194,,True,7.0
100398,32,4,775,5.0,False,
100399,19,1,466,,False,
100400,24,0,637,2.0,False,
100401,7,1,165,,False,
100402,12,2,326,4.0,False,
100403,25,4,586,4.0,False,
100404,26,3,592,2.0,False,
100405,38,3,926,4.0,False,
100406,15,0,399,4.0,False,
100407,7,0,193,,False,
100408,14,2,383,3.0,False,
100409,4,0,84,,True,6.0
100410,15,0,462,,False,
100411,12,0,354,,False,
100412,23,2,577,4.0,False,
100413,6,0,118,,True,10.0
100414,31,3,762,3.0,False,
100415,8,0,229,4.0,False,
100416,13,0,354,,False,
100417,19,0,534,,False,
100418,23,3,629,2.0,False,
100419,14,3,366,,False,
100420,12,2,297,4.0,False,
100421,24,2,599,3.0,False,
100422,15,1,391,,False,
100423,7,0,246,4.0,False,
100424,33,1,860,4.0,False,
100425,42,3,1132,3.0,False,
100426,6,0,174,,False,
100427,10,0,251,5.0,True,10.0
100428,23,2,534,3.0,False,
100429,13,1,372,4.0,False,
100430,16,2,422,4.0,False,
100431,14,2,317,,False,
100432,12,0,302,2.0,False,
100433,24,0,621,3.0,True,9.0
100434,23,1,602,4.0,False,
100435,15,0,481,,False,
100436,13,2,306,,False,
100437,17,2,479,3.0,True,8.0
100438,35,4,911,3.0,False,
100439,20,2,468,3.0,False,
100440,10,0,232,3.0,True,9.0
100441,25,2,574,3.0,False,
100442,18,1,500,,True,9.0
100443,9,0,231,4.0,True,9.0
100444,12,1,289,5.0,False,
100445,33,2,890,5.0,False,
100446,47,5,1219,4.0,False,
100447,15,5,405,2.0,False,
100448,22,0,553,4.0,False,
100449,31,2,824,4.0,False,
100450,9,1,186,,False,
100451,6,0,247,3.0,True,9.0
100452,17,1,414,3.0,False,
100453,10,0,245,,False,
100454,21,2,544,2.0,False,
100455,14,2,410,5.0,False,
100456,32,4,810,5.0,False,
100457,21,1,592,4.0,False,
100458,26,1,614,4.0,True,12.0
100459,27,5,745,4.0,False,
100460,9,1,241,,True,6.0
100461,9,1,203,2.0,False,
100462,13,0,323,,False,
100463,15,1,382,3.0,False,
100464,13,0,309,5.0,False,
100465,11,2,189,2.0,False,
100466,15,3,322,3.0,False,
100467,19,4,536,1.0,False,
100468,17,2,499,3.0,False,
100469,32,1,826,5.0,True,5.0
100470,24,1,587,3.0,False,
100471,8,1,203,,False,
100472,17,2,418,4.0,False,
100473,32,5,763,5.0,False,
100474,18,5,415,3.0,False,
100475,13,1,404,4.0,True,6.0
100476,9,3,239,,False,
100477,24,3,572,3.0,False,
100478,26,4,658,3.0,False,
100479,24,5,564,3.0,False,
100480,26,1,683,4.0,False,
100481,2,0,80,,False,
100482,24,1,577,4.0,False,
100483,22,0,583,5.0,False,
100484,21,2,555,3.0,False,
100485,22,2,582,2.0,False,
100486,10,0,213,2.0,True,5.0
100487,13,0,330,3.0,True,10.0
100488,10,1,257,,False,
100489,18,2,488,,False,
100490,19,2,468,,False,
100491,37,2,970,4.0,False,
100492,13,3,298,,True,13.0
100493,18,3,415,5.0,False,
100494,16,0,424,3.0,True,13.0
100495,34,2,882,3.0,False,
100496,12,0,300,3.0,True,8.0
100497,4,2,109,,False,
100498,7,2,247,3.0,True,10.0
100499,9,0,227,,True,8.0
100500,15,2,425,4.0,False,
100501,11,0,295,,True,6.0
100502,32,3,896,4.0,False,
100503,19,2,462,4.0,False,
100504,17,2,423,3.0,False,
100505,3,0,72,,False,
100506,18,1,501,3.0,False,
100507,18,3,475,5.0,False,
100508,10,1,281,,False,
100509,31,4,797,3.0,False,
100510,11,0,292,4.0,False,
100511,13,1,372,5.0,False,
100512,33,0,863,4.0,False,
100513,31,2,775,4.0,False,
100514,15,0,413,2.0,False,
100515,17,1,416,3.0,False,
100516,35,2,913,4.0,False,
100517,33,4,874,4.0,False,
100518,12,1,340,,False,
100519,36,2,930,4.0,False,
100520,36,2,943,4.0,False,
100521,17,0,377,,False,
100522,3,0,192,,False,
100523,26,5,649,4.0,False,
100524,21,1,619,3.0,False,
100525,30,2,726,3.0,False,
100526,43,7,1045,4.0,False,
100527,49,3,1250,5.0,False,
100528,9,1,228,,False,
100529,8,0,234,,False,
100530,6,0,138,,True,10.0
100531,6,1,117,,False,
100532,4,2,184,3.0,False,
100533,15,2,380,,False,
100534,18,2,453,4.0,False,
100535,24,3,607,3.0,False,
100536,47,4,1205,5.0,False,
100537,34,3,873,4.0,False,
100538,21,3,597,3.0,False,
100539,14,2,343,4.0,False,
100540,15,2,410,3.0,False,
100541,16,3,383,5.0,True,9.0
100542,15,5,434,4.0,False,
100543,24,2,632,5.0,False,
100544,7,0,152,,False,
100545,7,0,223,4.0,False,
100546,20,4,512,4.0,False,
100547,11,2,310,3.0,True,11.0
100548,29,4,776,4.0,False,
100549,20,1,556,,False,
100550,12,1,362,,False,
100551,15,1,378,3.0,False,
100552,34,0,917,5.0,False,
100553,23,4,646,4.0,False,
100554,8,0,265,4.0,False,
100555,17,1,390,3.0,False,
100556,17,0,480,3.0,True,9.0
100557,19,0,503,4.0,False,
100558,5,0,159,,False,
100559,25,5,658,2.0,False,
100560,8,0,163,3.0,False,
100561,17,2,416,,False,
100562,20,2,525,5.0,False,
100563,52,3,1355,4.0,False,
100564,6,1,127,,False,
100565,28,4,701,4.0,False,
100566,15,1,389,,True,13.0
100567,20,3,555,,False,
100568,27,4,625,3.0,True,10.0
100569,22,0,542,4.0,False,
100570,27,1,629,5.0,False,
100571,10,2,234,3.0,False,
100572,5,1,115,,False,
100573,18,2,510,3.0,False,
100574,32,2,841,5.0,False,
100575,24,1,666,4.0,False,
100576,39,2,1057,4.0,False,
100577,7,0,197,2.0,False,
100578,29,2,755,4.0,False,
100579,22,2,586,3.0,False,
100580,26,3,724,3.0,False,
100581,13,2,315,,False,
100582,18,3,450,2.0,False,
100583,15,2,441,,False,
100584,7,0,190,,False,
100585,22,4,582,3.0,True,13.0
100586,16,2,409,3.0,True,10.0
100587,14,4,397,4.0,False,
100588,17,1,418,,False,
100589,18,3,464,5.0,False,
100590,4,0,138,,False,
100591,11,0,287,3.0,False,
100592,15,3,395,4.0,False,
100593,7,0,162,,False,
100594,7,1,145,,False,
100595,8,3,194,,False,
100596,14,1,397,3.0,False,
100597,3,0,100,,False,
100598,11,3,302,2.0,False,
100599,10,1,266,,False,
100600,10,0,274,,False,
100601,39,2,996,4.0,False,
100602,17,4,471,5.0,False,
100603,20,1,527,3.0,True,9.0
100604,24,3,656,4.0,False,
100605,10,3,273,4.0,False,
100606,15,4,380,3.0,False,
100607,15,1,384,3.0,False,
100608,12,0,322,3.0,False,
100609,32,4,778,5.0,False,
100610,8,0,239,1.0,False,
100611,26,3,636,1.0,True,9.0
100612,12,2,352,,False,
100613,37,2,933,,False,
100614,21,2,526,3.0,False,
100615,4,0,126,,True,11.0
100616,33,3,855,4.0,True,11.0
100617,23,2,607,3.0,False,
100618,19,0,376,2.0,False,
100619,25,3,640,3.0,False,
100620,20,2,555,3.0,False,
100621,22,2,548,4.0,False,
100622,19,1,452,3.0,False,
100623,10,0,217,2.0,True,13.0
100624,13,1,325,,False,
100625,54,6,1376,3.0,False,
100626,13,0,318,,False,
100627,12,1,254,,False,
100628,12,0,303,,False,
100629,29,5,751,5.0,False,
100630,12,2,373,,False,
100631,21,1,597,3.0,False,
100632,21,3,548,4.0,True,12.0
100633,20,2,541,4.0,False,
100634,12,0,317,4.0,False,
100635,15,1,402,4.0,False,
100636,10,2,268,3.0,False,
100637,10,2,281,2.0,True,12.0
100638,14,3,388,,False,
100639,34,2,864,3.0,False,
100640,12,1,319,3.0,False,
100641,62,3,1614,5.0,False,
100642,29,6,738,3.0,False,
100643,16,2,427,4.0,False,
100644,9,1,200,3.0,False,
100645,19,0,433,,False,
100646,11,0,331,,False,
100647,16,1,414,5.0,False,
100648,17,1,408,3.0,False,
100649,15,3,459,4.0,True,10.0
100650,20,4,494,4.0,False,
100651,26,1,631,4.0,False,
100652,29,1,750,3.0,False,
100653,21,3,572,5.0,False,
100654,19,2,480,4.0,False,
100655,10,0,293,4.0,False,
100656,3,0,96,,False,
100657,30,4,777,2.0,False,
100658,15,1,391,3.0,False,
100659,11,1,238,,True,9.0
100660,30,0,711,3.0,False,
100661,8,1,270,1.0,False,
100662,8,2,248,3.0,False,
100663,11,1,230,,False,
100664,14,1,405,5.0,False,
100665,7,0,129,3.0,False,
100666,20,1,525,3.0,False,
100667,24,4,602,4.0,False,
100668,21,1,492,4.0,False,
100669,26,1,663,3.0,False,
100670,12,1,324,3.0,False,
100671,4,0,55,,False,
100672,9,2,171,3.0,False,
100673,19,3,427,2.0,False,
100674,12,1,268,4.0,False,
100675,23,1,516,5.0,False,
100676,29,1,761,5.0,False,
100677,6,0,148,,False,
100678,20,4,478,3.0,False,
100679,17,2,444,4.0,False,
100680,17,1,464,3.0,False,
100681,45,5,1204,5.0,False,
100682,13,2,387,3.0,False,
100683,11,0,377,,False,
100684,12,1,283,5.0,False,
100685,28,2,764,3.0,False,
100686,26,1,657,4.0,False,
100687,47,3,1281,5.0,False,
100688,9,1,231,3.0,True,8.0
100689,28,2,737,3.0,False,
100690,26,1,732,4.0,False,
100691,18,1,510,3.0,False,
100692,20,1,524,3.0,False,
100693,14,1,419,5.0,True,6.0
100694,17,1,494,4.0,False,
100695,15,1,368,3.0,False,
100696,14,1,356,3.0,False,
100697,9,1,158,,False,
100698,10,3,286,3.0,False,
100699,90,4,2299,5.0,False,
100700,4,0,145,,False,
100701,19,3,525,3.0,False,
100702,3,0,85,,False,
100703,11,0,227,3.0,False,
100704,16,0,378,,True,8.0
100705,27,5,641,4.0,False,
100706,23,4,630,3.0,False,
100707,9,0,212,,False,
100708,12,0,245,2.0,False,
100709,27,4,648,4.0,False,
100710,26,1,636,3.0,True,13.0
100711,31,2,811,2.0,False,
100712,55,5,1367,4.0,False,
100713,16,1,450,4.0,False,
100714,15,1,324,3.0,True,8.0
100715,10,3,278,,False,
100716,29,5,752,4.0,False,
100717,16,1,456,,False,
100718,16,1,390,5.0,True,10.0
100719,12,1,355,3.0,False,
100720,10,1,263,2.0,False,
100721,25,1,605,3.0,True,12.0
100722,21,3,563,4.0,False,
100723,14,1,377,3.0,False,
100724,19,3,495,4.0,False,
100725,15,0,412,3.0,False,
100726,8,0,223,3.0,False,
100727,5,1,151,3.0,False,
100728,19,2,532,,False,
100729,25,4,753,,False,
100730,12,1,304,,False,
100731,8,0,250,,False,
100732,13,4,322,3.0,False,
100733,3,0,64,,False,
100734,22,2,600,3.0,False,
100735,7,0,141,1.0,False,
100736,14,1,343,3.0,False,
100737,12,1,345,4.0,False,
100738,46,6,1190,4.0,False,
100739,9,3,256,3.0,False,
100740,23,3,561,5.0,False,
100741,24,2,723,4.0,False,
100742,8,1,164,,True,13.0
100743,15,0,391,4.0,False,
100744,24,4,660,4.0,False,
100745,8,0,221,2.0,True,12.0
100746,47,5,1266,4.0,False,
100747,11,0,297,,False,
100748,20,1,530,1.0,False,
100749,11,3,265,1.0,False,
100750,9,0,236,,False,
100751,11,0,286,,False,
100752,20,2,588,,False,
100753,49,4,1339,3.0,False,
100754,14,2,360,3.0,False,
100755,16,4,383,2.0,False,
100756,30,3,787,4.0,False,
100757,9,0,230,,True,10.0
100758,26,0,669,4.0,False,
100759,11,1,255,5.0,False,
100760,29,1,720,4.0,False,
100761,4,0,117,,False,
100762,18,4,436,4.0,False,
100763,19,1,595,1.0,False,
100764,31,3,822,4.0,False,
100765,17,2,446,4.0,False,
100766,28,1,716,3.0,False,
100767,11,1,251,,False,
100768,18,1,497,5.0,False,
100769,10,1,170,4.0,False,
100770,13,0,324,3.0,False,
100771,17,3,411,,False,
100772,22,4,552,,False,
100773,35,4,861,4.0,False,
100774,14,0,273,3.0,False,
100775,15,1,412,2.0,False,
100776,25,1,633,4.0,False,
100777,27,3,671,4.0,False,
100778,15,2,417,5.0,False,
100779,26,3,705,4.0,False,
100780,8,0,131,4.0,False,
100781,21,2,520,4.0,False,
100782,7,1,134,4.0,False,
100783,22,2,575,4.0,False,
100784,21,0,551,2.0,False,
100785,8,3,167,,False,
100786,8,0,208,2.0,False,
100787,14,3,348,4.0,True,6.0
100788,16,1,368,5.0,False,
100789,20,2,496,3.0,False,
100790,19,0,483,3.0,False,
100791,14,3,321,3.0,True,9.0
100792,15,1,437,2.0,False,
100793,23,2,568,3.0,False,
100794,13,1,386,2.0,False,
100795,7,1,210,,False,
100796,16,1,444,4.0,False,
100797,25,4,735,5.0,False,
100798,7,0,229,,False,
100799,9,1,168,2.0,True,7.0
100800,11,1,283,,False,
100801,14,1,397,,False,
100802,21,1,613,4.0,False,
100803,17,2,459,3.0,False,
100804,17,0,474,4.0,False,
100805,16,2,371,3.0,False,
100806,6,0,175,4.0,True,6.0
100807,13,4,330,,False,
100808,9,0,210,,True,9.0
100809,15,1,431,,False,
100810,10,1,283,,False,
100811,27,2,680,,False,
100812,15,2,365,3.0,False,
100813,12,0,232,4.0,False,
100814,12,0,287,,True,5.0
100815,13,2,238,3.0,False,
100816,10,0,273,5.0,False,
100817,18,0,416,4.0,False,
100818,12,0,290,,False,
100819,22,1,558,,False,
100820,10,0,267,4.0,False,
100821,19,0,515,3.0,False,
100822,7,1,129,,False,
100823,12,2,307,3.0,False,
100824,28,3,750,3.0,False,
100825,28,1,787,4.0,False,
100826,23,2,634,3.0,False,
100827,9,0,243,2.0,False,
100828,31,4,819,5.0,False,
100829,17,3,452,3.0,True,13.0
100830,20,1,620,2.0,False,
100831,21,2,513,,False,
100832,14,1,303,3.0,False,
100833,8,0,190,1.0,False,
100834,52,5,1413,5.0,False,
100835,17,2,446,4.0,True,9.0
100836,16,2,429,,False,
100837,18,2,457,,False,
100838,14,0,286,,False,
100839,23,4,578,3.0,False,
100840,26,1,685,4.0,False,
100841,23,5,500,4.0,False,
100842,14,1,395,,False,
100843,11,1,293,,False,
100844,21,1,564,3.0,False,
100845,18,3,428,3.0,False,
100846,17,2,479,5.0,False,
100847,16,1,508,,False,
100848,14,0,335,5.0,True,5.0
100849,6,0,186,,True,8.0
100850,15,2,270,,False,
100851,13,1,328,,False,
100852,16,3,435,2.0,False,
100853,26,1,672,3.0,False,
100854,23,3,598,3.0,False,
100855,20,2,499,2.0,False,
100856,15,0,366,,False,
100857,10,0,302,,True,10.0
100858,19,1,475,4.0,False,
100859,22,4,644,2.0,False,
100860,15,0,418,,True,13.0
100861,41,2,1025,4.0,False,
100862,5,0,113,3.0,False,
100863,15,2,390,4.0,False,
100864,11,1,271,3.0,False,
100865,21,3,556,3.0,False,
100866,44,1,1107,4.0,False,
100867,19,0,552,,False,
100868,20,0,516,2.0,True,11.0
100869,12,0,292,,True,12.0
100870,25,4,674,4.0,False,
100871,8,0,243,,False,
100872,11,1,261,4.0,False,
100873,24,2,609,3.0,False,
100874,28,2,695,2.0,False,
100875,40,3,1044,4.0,False,
100876,30,2,724,3.0,False,
100877,13,0,336,3.0,False,
100878,33,2,867,5.0,False,
100879,20,2,484,3.0,False,
100880,24,3,662,5.0,False,
100881,5,0,88,,False,
100882,16,2,416,3.0,False,
100883,14,2,327,4.0,False,
100884,7,0,192,,False,
100885,16,4,421,,False,
100886,19,0,516,4.0,False,
100887,15,1,413,3.0,False,
100888,16,0,440,3.0,False,
100889,16,0,454,,False,
